ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,normalized_protein,normalized_gene_name,Match_GN,pmc_GN,PMC_protein_name
RARG_HUMAN,Q9H1I3,RARG,Retinoic acid receptor gamma,9,33,6,48,18,Retinoic acid receptor gamma,RARG,1,275,2639
NFAT5_HUMAN,O94916,NFAT5,Nuclear factor of activated T-cells 5,6,13,5,24,18,NFAT5,NFAT5,1,628,2783
PPARD_HUMAN,Q03181,PPARD,Peroxisome proliferator-activated receptor delta,13,45,3,61,18,Peroxisome proliferator-activated receptor delta,PPARD,1,445,3910
NEUM_HUMAN,P17677,GAP43,Neuromodulin,4,12,9,25,18,Neuromodulin,GAP43,1,3376,3214
AA2AR_HUMAN,P29274,ADORA2A,Adenosine receptor A2a,8,50,11,69,19,Adenosine receptor A2a,ADORA2A,1,532,6371
PLLIVFSDDQ,O95393,BMP10,Bone morphogenetic protein 10,5,25,5,35,19,Bone morphogenetic protein 10,BMP10,1,217,5721
PTN2_HUMAN,P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2,7,33,8,48,19,Tyrosine-protein phosphatase non-receptor type 2,PTPN2,1,481,6376
DYR_HUMAN,P00374,DHFR,Dihydrofolate reductase,7,11,2,20,19,Dihydrofolate reductase,DHFR,1,4487,9262
IL13_HUMAN,P35225,IL13,Interleukin-13,2,29,4,35,19,Interleukin-13,IL13,1,18198,7615
CEBPA_HUMAN,P49715,CEBPA,CCAAT/enhancer-binding protein alpha ,13,45,8,66,19,CCAAT/enhancer-binding protein alpha,CEBPA,1,2069,4746
IL15_HUMAN,P40933,IL15,Interleukin-15,2,29,8,39,19,Interleukin-15,IL15,1,8044,4552
H2AX_HUMAN,P16104,H2AX,Histone H2AX,8,15,11,34,19,Histone H2AX,H2AFX,0,7584,4883
IL2RA_HUMAN,P01589,IL2RA,Interleukin-2 receptor subunit alpha,2,16,3,21,19,Interleukin-2 receptor subunit alpha,IL2RA,1,2082,5935
MK15_HUMAN,Q8TD08,MAPK15,Mitogen-activated protein kinase 15 ,8,16,11,35,19,Mitogen-activated protein kinase 15,MAPK15,1,74,8893
HEN2_HUMAN,Q02577,NHLH2,Helix-loop-helix protein 2,6,11,3,20,20,Helix-loop-helix protein 2,TCF4,0,69,13784
EMP2_HUMAN,P54851,EMP2,Epithelial membrane protein 2,3,31,12,46,20,Epithelial membrane protein 2,EMP2,1,153,58767
GHRL_HUMAN,Q9UBU3,GHRL,Obestatin,4,54,8,66,20,Obestatin,GHRL,1,428,13013
BRAF_HUMAN,Q3MIN6,BRAF,Serine/threonine-protein kinase B-raf ,11,42,8,61,20,Serine/threonine-protein kinase B-raf,BRAF,1,24715,13294
PAI1_HUMAN,P05121,SERPINE1,Plasminogen activator inhibitor 1,3,27,8,38,20,Plasminogen activator inhibitor 1,SERPINE1,1,2470,13517
CSF2_HUMAN,P04141,CSF2,Granulocyte-macrophage colony-stimulating factor,3,28,5,36,20,Granulocyte-macrophage colony-stimulating factor,CSF2,1,713,25486
GTPB4_HUMAN,Q9BZE4,GTPBP4,GTP-binding protein 4,4,11,8,23,20,GTP-binding protein 4,GTPBP4,1,31,28245
TERT_HUMAN,O14746,TERT,Telomerase reverse transcriptase,15,32,14,61,20,Telomerase reverse transcriptase,TERT,1,41289,21113
ADA2B_HUMAN,P18089,ADRA2B,Alpha-2B adrenergic receptor,2,17,4,23,20,Alpha-2B adrenergic receptor,ADRA2B,1,235,11140
PRIO_HUMAN,Q9UP19,PRNP,Major prion protein,20,39,16,75,20,Major prion protein,PRNP,1,2337,12646
